Les codes hexas et unicode des caractères usuels, par Nicolas Hoffmann
Code unicode	Code hexa	En clair	Au clavier
&#10230;	%27f6	⟶
&#10231;	%27f7	⟷
&#10232;	%27f8	⟸
&#10233;	%27f9	⟹
&#10234;	%27fa	⟺
&#10235;	%27fb	⟻
&#10236;	%27fc	⟼
&#10237;	%27fd	⟽
&#10238;	%27fe	⟾
&#10239;	%27ff	⟿
&#10240;	%2800	⠀
&#10241;	%2801	⠁
&#10242;	%2802	⠂
&#10243;	%2803	⠃
&#10244;	%2804	⠄
&#10245;	%2805	⠅
&#10246;	%2806	⠆
&#10247;	%2807	⠇
&#10248;	%2808	⠈
&#10249;	%2809	⠉
&#10250;	%280a	⠊
&#10251;	%280b	⠋
&#10252;	%280c	⠌
&#10253;	%280d	⠍
&#10254;	%280e	⠎
&#10255;	%280f	⠏
&#10256;	%2810	⠐
&#10257;	%2811	⠑
&#10258;	%2812	⠒
&#10259;	%2813	⠓
&#10260;	%2814	⠔
&#10261;	%2815	⠕
&#10262;	%2816	⠖
&#10263;	%2817	⠗
&#10264;	%2818	⠘
&#10265;	%2819	⠙
&#10266;	%281a	⠚
&#10267;	%281b	⠛
&#10268;	%281c	⠜
&#10269;	%281d	⠝
&#10270;	%281e	⠞
&#10271;	%281f	⠟
&#10272;	%2820	⠠
&#10273;	%2821	⠡
&#10274;	%2822	⠢
&#10275;	%2823	⠣
&#10276;	%2824	⠤
&#10277;	%2825	⠥
&#10278;	%2826	⠦
&#10279;	%2827	⠧
&#10280;	%2828	⠨
&#10281;	%2829	⠩
&#10282;	%282a	⠪
&#10283;	%282b	⠫
&#10284;	%282c	⠬
&#10285;	%282d	⠭
&#10286;	%282e	⠮
&#10287;	%282f	⠯
&#10288;	%2830	⠰
&#10289;	%2831	⠱
&#10290;	%2832	⠲
&#10291;	%2833	⠳
&#10292;	%2834	⠴
&#10293;	%2835	⠵
&#10294;	%2836	⠶
&#10295;	%2837	⠷
&#10296;	%2838	⠸
&#10297;	%2839	⠹
&#10298;	%283a	⠺
&#10299;	%283b	⠻
&#10300;	%283c	⠼
&#10301;	%283d	⠽
&#10302;	%283e	⠾
&#10303;	%283f	⠿
&#10304;	%2840	⡀
&#10305;	%2841	⡁
&#10306;	%2842	⡂
&#10307;	%2843	⡃
&#10308;	%2844	⡄
&#10309;	%2845	⡅
&#10310;	%2846	⡆
&#10311;	%2847	⡇
&#10312;	%2848	⡈
&#10313;	%2849	⡉
&#10314;	%284a	⡊
&#10315;	%284b	⡋
&#10316;	%284c	⡌
&#10317;	%284d	⡍
&#10318;	%284e	⡎
&#10319;	%284f	⡏
&#10320;	%2850	⡐
&#10321;	%2851	⡑
&#10322;	%2852	⡒
&#10323;	%2853	⡓
&#10324;	%2854	⡔
&#10325;	%2855	⡕
&#10326;	%2856	⡖
&#10327;	%2857	⡗
&#10328;	%2858	⡘
&#10329;	%2859	⡙
&#10330;	%285a	⡚
&#10331;	%285b	⡛
&#10332;	%285c	⡜
&#10333;	%285d	⡝
&#10334;	%285e	⡞
&#10335;	%285f	⡟
&#10336;	%2860	⡠
&#10337;	%2861	⡡
&#10338;	%2862	⡢
&#10339;	%2863	⡣
&#10340;	%2864	⡤
&#10341;	%2865	⡥
&#10342;	%2866	⡦
&#10343;	%2867	⡧
&#10344;	%2868	⡨
&#10345;	%2869	⡩
&#10346;	%286a	⡪
&#10347;	%286b	⡫
&#10348;	%286c	⡬
&#10349;	%286d	⡭
&#10350;	%286e	⡮
&#10351;	%286f	⡯
&#10352;	%2870	⡰
&#10353;	%2871	⡱
&#10354;	%2872	⡲
&#10355;	%2873	⡳
&#10356;	%2874	⡴
&#10357;	%2875	⡵
&#10358;	%2876	⡶
&#10359;	%2877	⡷
&#10360;	%2878	⡸
&#10361;	%2879	⡹
&#10362;	%287a	⡺
&#10363;	%287b	⡻
&#10364;	%287c	⡼
&#10365;	%287d	⡽
&#10366;	%287e	⡾
&#10367;	%287f	⡿
&#10368;	%2880	⢀
&#10369;	%2881	⢁
&#10370;	%2882	⢂
&#10371;	%2883	⢃
&#10372;	%2884	⢄
&#10373;	%2885	⢅
&#10374;	%2886	⢆
&#10375;	%2887	⢇
&#10376;	%2888	⢈
&#10377;	%2889	⢉
&#10378;	%288a	⢊
&#10379;	%288b	⢋
&#10380;	%288c	⢌
&#10381;	%288d	⢍
&#10382;	%288e	⢎
&#10383;	%288f	⢏
&#10384;	%2890	⢐
&#10385;	%2891	⢑
&#10386;	%2892	⢒
&#10387;	%2893	⢓
&#10388;	%2894	⢔
&#10389;	%2895	⢕
&#10390;	%2896	⢖
&#10391;	%2897	⢗
&#10392;	%2898	⢘
&#10393;	%2899	⢙
&#10394;	%289a	⢚
&#10395;	%289b	⢛
&#10396;	%289c	⢜
&#10397;	%289d	⢝
&#10398;	%289e	⢞
&#10399;	%289f	⢟
&#10400;	%28a0	⢠
&#10401;	%28a1	⢡
&#10402;	%28a2	⢢
&#10403;	%28a3	⢣
&#10404;	%28a4	⢤
&#10405;	%28a5	⢥
&#10406;	%28a6	⢦
&#10407;	%28a7	⢧
&#10408;	%28a8	⢨
&#10409;	%28a9	⢩
&#10410;	%28aa	⢪
&#10411;	%28ab	⢫
&#10412;	%28ac	⢬
&#10413;	%28ad	⢭
&#10414;	%28ae	⢮
&#10415;	%28af	⢯
&#10416;	%28b0	⢰
&#10417;	%28b1	⢱
&#10418;	%28b2	⢲
&#10419;	%28b3	⢳
&#10420;	%28b4	⢴
&#10421;	%28b5	⢵
&#10422;	%28b6	⢶
&#10423;	%28b7	⢷
&#10424;	%28b8	⢸
&#10425;	%28b9	⢹
&#10426;	%28ba	⢺
&#10427;	%28bb	⢻
&#10428;	%28bc	⢼
&#10429;	%28bd	⢽
&#10430;	%28be	⢾
&#10431;	%28bf	⢿
&#10432;	%28c0	⣀
&#10433;	%28c1	⣁
&#10434;	%28c2	⣂
&#10435;	%28c3	⣃
&#10436;	%28c4	⣄
&#10437;	%28c5	⣅
&#10438;	%28c6	⣆
&#10439;	%28c7	⣇
&#10440;	%28c8	⣈
&#10441;	%28c9	⣉
&#10442;	%28ca	⣊
&#10443;	%28cb	⣋
&#10444;	%28cc	⣌
&#10445;	%28cd	⣍
&#10446;	%28ce	⣎
&#10447;	%28cf	⣏
&#10448;	%28d0	⣐
&#10449;	%28d1	⣑
&#10450;	%28d2	⣒
&#10451;	%28d3	⣓
&#10452;	%28d4	⣔
&#10453;	%28d5	⣕
&#10454;	%28d6	⣖
&#10455;	%28d7	⣗
&#10456;	%28d8	⣘
&#10457;	%28d9	⣙
&#10458;	%28da	⣚
&#10459;	%28db	⣛
&#10460;	%28dc	⣜
&#10461;	%28dd	⣝
&#10462;	%28de	⣞
&#10463;	%28df	⣟
&#10464;	%28e0	⣠
&#10465;	%28e1	⣡
&#10466;	%28e2	⣢
&#10467;	%28e3	⣣
&#10468;	%28e4	⣤
&#10469;	%28e5	⣥
&#10470;	%28e6	⣦
&#10471;	%28e7	⣧
&#10472;	%28e8	⣨
&#10473;	%28e9	⣩
&#10474;	%28ea	⣪
&#10475;	%28eb	⣫
&#10476;	%28ec	⣬
&#10477;	%28ed	⣭
&#10478;	%28ee	⣮
&#10479;	%28ef	⣯
&#10480;	%28f0	⣰
&#10481;	%28f1	⣱
&#10482;	%28f2	⣲
&#10483;	%28f3	⣳
&#10484;	%28f4	⣴
&#10485;	%28f5	⣵
&#10486;	%28f6	⣶
&#10487;	%28f7	⣷
&#10488;	%28f8	⣸
&#10489;	%28f9	⣹
&#10490;	%28fa	⣺
&#10491;	%28fb	⣻
&#10492;	%28fc	⣼
&#10493;	%28fd	⣽
&#10494;	%28fe	⣾
&#10495;	%28ff	⣿
&#10496;	%2900	⤀
&#10497;	%2901	⤁
&#10498;	%2902	⤂
&#10499;	%2903	⤃
&#10500;	%2904	⤄
&#10501;	%2905	⤅
&#10502;	%2906	⤆
&#10503;	%2907	⤇
&#10504;	%2908	⤈
&#10505;	%2909	⤉
&#10506;	%290a	⤊
&#10507;	%290b	⤋
&#10508;	%290c	⤌
&#10509;	%290d	⤍
&#10510;	%290e	⤎
&#10511;	%290f	⤏
&#10512;	%2910	⤐
&#10513;	%2911	⤑
&#10514;	%2912	⤒
&#10515;	%2913	⤓
&#10516;	%2914	⤔
&#10517;	%2915	⤕
&#10518;	%2916	⤖
&#10519;	%2917	⤗
&#10520;	%2918	⤘
&#10521;	%2919	⤙
&#10522;	%291a	⤚
&#10523;	%291b	⤛
&#10524;	%291c	⤜
&#10525;	%291d	⤝
&#10526;	%291e	⤞
&#10527;	%291f	⤟
&#10528;	%2920	⤠
&#10529;	%2921	⤡
&#10530;	%2922	⤢
&#10531;	%2923	⤣
&#10532;	%2924	⤤
&#10533;	%2925	⤥
&#10534;	%2926	⤦
&#10535;	%2927	⤧
&#10536;	%2928	⤨
&#10537;	%2929	⤩
&#10538;	%292a	⤪
&#10539;	%292b	⤫
&#10540;	%292c	⤬
&#10541;	%292d	⤭
&#10542;	%292e	⤮
&#10543;	%292f	⤯
&#10544;	%2930	⤰
&#10545;	%2931	⤱
&#10546;	%2932	⤲
&#10547;	%2933	⤳
&#10548;	%2934	⤴
&#10549;	%2935	⤵
&#10550;	%2936	⤶
&#10551;	%2937	⤷
&#10552;	%2938	⤸
&#10553;	%2939	⤹
&#10554;	%293a	⤺
&#10555;	%293b	⤻
&#10556;	%293c	⤼
&#10557;	%293d	⤽
&#10558;	%293e	⤾
&#10559;	%293f	⤿
&#10560;	%2940	⥀
&#10561;	%2941	⥁
&#10562;	%2942	⥂
&#10563;	%2943	⥃
&#10564;	%2944	⥄
&#10565;	%2945	⥅
&#10566;	%2946	⥆
&#10567;	%2947	⥇
&#10568;	%2948	⥈
&#10569;	%2949	⥉
&#10570;	%294a	⥊
&#10571;	%294b	⥋
&#10572;	%294c	⥌
&#10573;	%294d	⥍
&#10574;	%294e	⥎
&#10575;	%294f	⥏
&#10576;	%2950	⥐
&#10577;	%2951	⥑
&#10578;	%2952	⥒
&#10579;	%2953	⥓
&#10580;	%2954	⥔
&#10581;	%2955	⥕
&#10582;	%2956	⥖
&#10583;	%2957	⥗
&#10584;	%2958	⥘
&#10585;	%2959	⥙
&#10586;	%295a	⥚
&#10587;	%295b	⥛
&#10588;	%295c	⥜
&#10589;	%295d	⥝
&#10590;	%295e	⥞
&#10591;	%295f	⥟
&#10592;	%2960	⥠
&#10593;	%2961	⥡
&#10594;	%2962	⥢
&#10595;	%2963	⥣
&#10596;	%2964	⥤
&#10597;	%2965	⥥
&#10598;	%2966	⥦
&#10599;	%2967	⥧
&#10600;	%2968	⥨
&#10601;	%2969	⥩
&#10602;	%296a	⥪
&#10603;	%296b	⥫
&#10604;	%296c	⥬
&#10605;	%296d	⥭
&#10606;	%296e	⥮
&#10607;	%296f	⥯
&#10608;	%2970	⥰
&#10609;	%2971	⥱
&#10610;	%2972	⥲
&#10611;	%2973	⥳
&#10612;	%2974	⥴
&#10613;	%2975	⥵
&#10614;	%2976	⥶
&#10615;	%2977	⥷
&#10616;	%2978	⥸
&#10617;	%2979	⥹
&#10618;	%297a	⥺
&#10619;	%297b	⥻
&#10620;	%297c	⥼
&#10621;	%297d	⥽
&#10622;	%297e	⥾
&#10623;	%297f	⥿
&#10624;	%2980	⦀
&#10625;	%2981	⦁
&#10626;	%2982	⦂
&#10627;	%2983	⦃
&#10628;	%2984	⦄
&#10629;	%2985	⦅
&#10630;	%2986	⦆
&#10631;	%2987	⦇
&#10632;	%2988	⦈
&#10633;	%2989	⦉
&#10634;	%298a	⦊
&#10635;	%298b	⦋
&#10636;	%298c	⦌
&#10637;	%298d	⦍
&#10638;	%298e	⦎
&#10639;	%298f	⦏
&#10640;	%2990	⦐
&#10641;	%2991	⦑
&#10642;	%2992	⦒
&#10643;	%2993	⦓
&#10644;	%2994	⦔
&#10645;	%2995	⦕
&#10646;	%2996	⦖
&#10647;	%2997	⦗
&#10648;	%2998	⦘
&#10649;	%2999	⦙
&#10650;	%299a	⦚
&#10651;	%299b	⦛
&#10652;	%299c	⦜
&#10653;	%299d	⦝
&#10654;	%299e	⦞
&#10655;	%299f	⦟
&#10656;	%29a0	⦠
&#10657;	%29a1	⦡
&#10658;	%29a2	⦢
&#10659;	%29a3	⦣
&#10660;	%29a4	⦤
&#10661;	%29a5	⦥
&#10662;	%29a6	⦦
&#10663;	%29a7	⦧
&#10664;	%29a8	⦨
&#10665;	%29a9	⦩
&#10666;	%29aa	⦪
&#10667;	%29ab	⦫
&#10668;	%29ac	⦬
&#10669;	%29ad	⦭
&#10670;	%29ae	⦮
&#10671;	%29af	⦯
&#10672;	%29b0	⦰
&#10673;	%29b1	⦱
&#10674;	%29b2	⦲
&#10675;	%29b3	⦳
&#10676;	%29b4	⦴
&#10677;	%29b5	⦵
&#10678;	%29b6	⦶
&#10679;	%29b7	⦷
&#10680;	%29b8	⦸
&#10681;	%29b9	⦹
&#10682;	%29ba	⦺
&#10683;	%29bb	⦻
&#10684;	%29bc	⦼
&#10685;	%29bd	⦽
&#10686;	%29be	⦾
&#10687;	%29bf	⦿
&#10688;	%29c0	⧀
&#10689;	%29c1	⧁
&#10690;	%29c2	⧂
&#10691;	%29c3	⧃
&#10692;	%29c4	⧄
&#10693;	%29c5	⧅
&#10694;	%29c6	⧆
&#10695;	%29c7	⧇
&#10696;	%29c8	⧈
&#10697;	%29c9	⧉
&#10698;	%29ca	⧊
&#10699;	%29cb	⧋
&#10700;	%29cc	⧌
&#10701;	%29cd	⧍
&#10702;	%29ce	⧎
&#10703;	%29cf	⧏
&#10704;	%29d0	⧐
&#10705;	%29d1	⧑
&#10706;	%29d2	⧒
&#10707;	%29d3	⧓
&#10708;	%29d4	⧔
&#10709;	%29d5	⧕
&#10710;	%29d6	⧖
&#10711;	%29d7	⧗
&#10712;	%29d8	⧘
&#10713;	%29d9	⧙
&#10714;	%29da	⧚
&#10715;	%29db	⧛
&#10716;	%29dc	⧜
&#10717;	%29dd	⧝
&#10718;	%29de	⧞
&#10719;	%29df	⧟
&#10720;	%29e0	⧠
&#10721;	%29e1	⧡
&#10722;	%29e2	⧢
&#10723;	%29e3	⧣
&#10724;	%29e4	⧤
&#10725;	%29e5	⧥
&#10726;	%29e6	⧦
&#10727;	%29e7	⧧
&#10728;	%29e8	⧨
&#10729;	%29e9	⧩
&#10730;	%29ea	⧪
&#10731;	%29eb	⧫
&#10732;	%29ec	⧬
&#10733;	%29ed	⧭
&#10734;	%29ee	⧮
&#10735;	%29ef	⧯
&#10736;	%29f0	⧰
&#10737;	%29f1	⧱
&#10738;	%29f2	⧲
&#10739;	%29f3	⧳
&#10740;	%29f4	⧴
&#10741;	%29f5	⧵
&#10742;	%29f6	⧶
&#10743;	%29f7	⧷
&#10744;	%29f8	⧸
&#10745;	%29f9	⧹
&#10746;	%29fa	⧺
&#10747;	%29fb	⧻
&#10748;	%29fc	⧼
&#10749;	%29fd	⧽
&#10750;	%29fe	⧾
&#10751;	%29ff	⧿
&#10752;	%2a00	⨀
&#10753;	%2a01	⨁
&#10754;	%2a02	⨂
&#10755;	%2a03	⨃
&#10756;	%2a04	⨄
&#10757;	%2a05	⨅
&#10758;	%2a06	⨆
&#10759;	%2a07	⨇
&#10760;	%2a08	⨈
&#10761;	%2a09	⨉
&#10762;	%2a0a	⨊
&#10763;	%2a0b	⨋
&#10764;	%2a0c	⨌
&#10765;	%2a0d	⨍
&#10766;	%2a0e	⨎
&#10767;	%2a0f	⨏
&#10768;	%2a10	⨐
&#10769;	%2a11	⨑
&#10770;	%2a12	⨒
&#10771;	%2a13	⨓
&#10772;	%2a14	⨔
&#10773;	%2a15	⨕
&#10774;	%2a16	⨖
&#10775;	%2a17	⨗
&#10776;	%2a18	⨘
&#10777;	%2a19	⨙
&#10778;	%2a1a	⨚
&#10779;	%2a1b	⨛
&#10780;	%2a1c	⨜
&#10781;	%2a1d	⨝
&#10782;	%2a1e	⨞
&#10783;	%2a1f	⨟
&#10784;	%2a20	⨠
&#10785;	%2a21	⨡
&#10786;	%2a22	⨢
&#10787;	%2a23	⨣
&#10788;	%2a24	⨤
&#10789;	%2a25	⨥
&#10790;	%2a26	⨦
&#10791;	%2a27	⨧
&#10792;	%2a28	⨨
&#10793;	%2a29	⨩
&#10794;	%2a2a	⨪
&#10795;	%2a2b	⨫
&#10796;	%2a2c	⨬
&#10797;	%2a2d	⨭
&#10798;	%2a2e	⨮
&#10799;	%2a2f	⨯
&#10800;	%2a30	⨰
&#10801;	%2a31	⨱
&#10802;	%2a32	⨲
&#10803;	%2a33	⨳
&#10804;	%2a34	⨴
&#10805;	%2a35	⨵
&#10806;	%2a36	⨶
&#10807;	%2a37	⨷
&#10808;	%2a38	⨸
&#10809;	%2a39	⨹
&#10810;	%2a3a	⨺
&#10811;	%2a3b	⨻
&#10812;	%2a3c	⨼
&#10813;	%2a3d	⨽
&#10814;	%2a3e	⨾
&#10815;	%2a3f	⨿
&#10816;	%2a40	⩀
&#10817;	%2a41	⩁
&#10818;	%2a42	⩂
&#10819;	%2a43	⩃
&#10820;	%2a44	⩄
&#10821;	%2a45	⩅
&#10822;	%2a46	⩆
&#10823;	%2a47	⩇
&#10824;	%2a48	⩈
&#10825;	%2a49	⩉
&#10826;	%2a4a	⩊
&#10827;	%2a4b	⩋
&#10828;	%2a4c	⩌
&#10829;	%2a4d	⩍
&#10830;	%2a4e	⩎
&#10831;	%2a4f	⩏
&#10832;	%2a50	⩐
&#10833;	%2a51	⩑
&#10834;	%2a52	⩒
&#10835;	%2a53	⩓
&#10836;	%2a54	⩔
&#10837;	%2a55	⩕
&#10838;	%2a56	⩖
&#10839;	%2a57	⩗
&#10840;	%2a58	⩘
&#10841;	%2a59	⩙
&#10842;	%2a5a	⩚
&#10843;	%2a5b	⩛
&#10844;	%2a5c	⩜
&#10845;	%2a5d	⩝
&#10846;	%2a5e	⩞
&#10847;	%2a5f	⩟
&#10848;	%2a60	⩠
&#10849;	%2a61	⩡
&#10850;	%2a62	⩢
&#10851;	%2a63	⩣
&#10852;	%2a64	⩤
&#10853;	%2a65	⩥
&#10854;	%2a66	⩦
&#10855;	%2a67	⩧
&#10856;	%2a68	⩨
&#10857;	%2a69	⩩
&#10858;	%2a6a	⩪
&#10859;	%2a6b	⩫
&#10860;	%2a6c	⩬
&#10861;	%2a6d	⩭
&#10862;	%2a6e	⩮
&#10863;	%2a6f	⩯
&#10864;	%2a70	⩰
&#10865;	%2a71	⩱
&#10866;	%2a72	⩲
&#10867;	%2a73	⩳
&#10868;	%2a74	⩴
&#10869;	%2a75	⩵
&#10870;	%2a76	⩶
&#10871;	%2a77	⩷
&#10872;	%2a78	⩸
&#10873;	%2a79	⩹
&#10874;	%2a7a	⩺
&#10875;	%2a7b	⩻
&#10876;	%2a7c	⩼
&#10877;	%2a7d	⩽
&#10878;	%2a7e	⩾
&#10879;	%2a7f	⩿
&#10880;	%2a80	⪀
&#10881;	%2a81	⪁
&#10882;	%2a82	⪂
&#10883;	%2a83	⪃
&#10884;	%2a84	⪄
&#10885;	%2a85	⪅
&#10886;	%2a86	⪆
&#10887;	%2a87	⪇
&#10888;	%2a88	⪈
&#10889;	%2a89	⪉
&#10890;	%2a8a	⪊
&#10891;	%2a8b	⪋
&#10892;	%2a8c	⪌
&#10893;	%2a8d	⪍
&#10894;	%2a8e	⪎
&#10895;	%2a8f	⪏
&#10896;	%2a90	⪐
&#10897;	%2a91	⪑
&#10898;	%2a92	⪒
&#10899;	%2a93	⪓
&#10900;	%2a94	⪔
&#10901;	%2a95	⪕
&#10902;	%2a96	⪖
&#10903;	%2a97	⪗
&#10904;	%2a98	⪘
&#10905;	%2a99	⪙
&#10906;	%2a9a	⪚
&#10907;	%2a9b	⪛
&#10908;	%2a9c	⪜
&#10909;	%2a9d	⪝
&#10910;	%2a9e	⪞
&#10911;	%2a9f	⪟
&#10912;	%2aa0	⪠
&#10913;	%2aa1	⪡
&#10914;	%2aa2	⪢
&#10915;	%2aa3	⪣
&#10916;	%2aa4	⪤
&#10917;	%2aa5	⪥
&#10918;	%2aa6	⪦
&#10919;	%2aa7	⪧
&#10920;	%2aa8	⪨
&#10921;	%2aa9	⪩
&#10922;	%2aaa	⪪
&#10923;	%2aab	⪫
&#10924;	%2aac	⪬
&#10925;	%2aad	⪭
&#10926;	%2aae	⪮
&#10927;	%2aaf	⪯
&#10928;	%2ab0	⪰
&#10929;	%2ab1	⪱
&#10930;	%2ab2	⪲
&#10931;	%2ab3	⪳
&#10932;	%2ab4	⪴
&#10933;	%2ab5	⪵
&#10934;	%2ab6	⪶
&#10935;	%2ab7	⪷
&#10936;	%2ab8	⪸
&#10937;	%2ab9	⪹
&#10938;	%2aba	⪺
&#10939;	%2abb	⪻
&#10940;	%2abc	⪼
&#10941;	%2abd	⪽
&#10942;	%2abe	⪾
&#10943;	%2abf	⪿
&#10944;	%2ac0	⫀
&#10945;	%2ac1	⫁
&#10946;	%2ac2	⫂
&#10947;	%2ac3	⫃
&#10948;	%2ac4	⫄
&#10949;	%2ac5	⫅
&#10950;	%2ac6	⫆
&#10951;	%2ac7	⫇
&#10952;	%2ac8	⫈
&#10953;	%2ac9	⫉
&#10954;	%2aca	⫊
&#10955;	%2acb	⫋
&#10956;	%2acc	⫌
&#10957;	%2acd	⫍
&#10958;	%2ace	⫎
&#10959;	%2acf	⫏
&#10960;	%2ad0	⫐
&#10961;	%2ad1	⫑
&#10962;	%2ad2	⫒
&#10963;	%2ad3	⫓
&#10964;	%2ad4	⫔
&#10965;	%2ad5	⫕
&#10966;	%2ad6	⫖
&#10967;	%2ad7	⫗
&#10968;	%2ad8	⫘
&#10969;	%2ad9	⫙
&#10970;	%2ada	⫚
&#10971;	%2adb	⫛
&#10972;	%2adc	⫝̸
&#10973;	%2add	⫝
&#10974;	%2ade	⫞
&#10975;	%2adf	⫟
&#10976;	%2ae0	⫠
&#10977;	%2ae1	⫡
&#10978;	%2ae2	⫢
&#10979;	%2ae3	⫣
&#10980;	%2ae4	⫤
&#10981;	%2ae5	⫥
&#10982;	%2ae6	⫦
&#10983;	%2ae7	⫧
&#10984;	%2ae8	⫨
&#10985;	%2ae9	⫩
&#10986;	%2aea	⫪
&#10987;	%2aeb	⫫
&#10988;	%2aec	⫬
&#10989;	%2aed	⫭
&#10990;	%2aee	⫮
&#10991;	%2aef	⫯
&#10992;	%2af0	⫰
&#10993;	%2af1	⫱
&#10994;	%2af2	⫲
&#10995;	%2af3	⫳
&#10996;	%2af4	⫴
&#10997;	%2af5	⫵
&#10998;	%2af6	⫶
&#10999;	%2af7	⫷
&#11000;	%2af8	⫸
&#11001;	%2af9	⫹
&#11002;	%2afa	⫺
&#11003;	%2afb	⫻
&#11004;	%2afc	⫼
&#11005;	%2afd	⫽
&#11006;	%2afe	⫾
&#11007;	%2aff	⫿
&#11008;	%2b00	⬀
&#11009;	%2b01	⬁
&#11010;	%2b02	⬂
&#11011;	%2b03	⬃
&#11012;	%2b04	⬄
&#11013;	%2b05	⬅
&#11014;	%2b06	⬆
&#11015;	%2b07	⬇
&#11016;	%2b08	⬈
&#11017;	%2b09	⬉
&#11018;	%2b0a	⬊
&#11019;	%2b0b	⬋
&#11020;	%2b0c	⬌
&#11021;	%2b0d	⬍
&#11022;	%2b0e	⬎
&#11023;	%2b0f	⬏
&#11024;	%2b10	⬐
&#11025;	%2b11	⬑
&#11026;	%2b12	⬒
&#11027;	%2b13	⬓
&#11028;	%2b14	⬔
&#11029;	%2b15	⬕
&#11030;	%2b16	⬖
&#11031;	%2b17	⬗
&#11032;	%2b18	⬘
&#11033;	%2b19	⬙
&#11034;	%2b1a	⬚
&#11035;	%2b1b	⬛
&#11036;	%2b1c	⬜
&#11037;	%2b1d	⬝
&#11038;	%2b1e	⬞
&#11039;	%2b1f	⬟
&#11040;	%2b20	⬠
&#11041;	%2b21	⬡
&#11042;	%2b22	⬢
&#11043;	%2b23	⬣
&#11044;	%2b24	⬤
&#11045;	%2b25	⬥
&#11046;	%2b26	⬦
&#11047;	%2b27	⬧
&#11048;	%2b28	⬨
&#11049;	%2b29	⬩
&#11050;	%2b2a	⬪
&#11051;	%2b2b	⬫
&#11052;	%2b2c	⬬
&#11053;	%2b2d	⬭
&#11054;	%2b2e	⬮
&#11055;	%2b2f	⬯
&#11056;	%2b30	⬰
&#11057;	%2b31	⬱
&#11058;	%2b32	⬲
&#11059;	%2b33	⬳
&#11060;	%2b34	⬴
&#11061;	%2b35	⬵
&#11062;	%2b36	⬶
&#11063;	%2b37	⬷
&#11064;	%2b38	⬸
&#11065;	%2b39	⬹
&#11066;	%2b3a	⬺
&#11067;	%2b3b	⬻
&#11068;	%2b3c	⬼
&#11069;	%2b3d	⬽
&#11070;	%2b3e	⬾
&#11071;	%2b3f	⬿
&#11072;	%2b40	⭀
&#11073;	%2b41	⭁
&#11074;	%2b42	⭂
&#11075;	%2b43	⭃
&#11076;	%2b44	⭄
&#11077;	%2b45	⭅
&#11078;	%2b46	⭆
&#11079;	%2b47	⭇
&#11080;	%2b48	⭈
&#11081;	%2b49	⭉
&#11082;	%2b4a	⭊
&#11083;	%2b4b	⭋
&#11084;	%2b4c	⭌
&#11085;	%2b4d	⭍
&#11086;	%2b4e	⭎
&#11087;	%2b4f	⭏
&#11088;	%2b50	⭐
&#11089;	%2b51	⭑
&#11090;	%2b52	⭒
&#11091;	%2b53	⭓
&#11092;	%2b54	⭔
&#11093;	%2b55	⭕
&#11094;	%2b56	⭖
&#11095;	%2b57	⭗
&#11096;	%2b58	⭘
&#11097;	%2b59	⭙
&#11098;	%2b5a	⭚
&#11099;	%2b5b	⭛
&#11100;	%2b5c	⭜
&#11101;	%2b5d	⭝
&#11102;	%2b5e	⭞
&#11103;	%2b5f	⭟
&#11104;	%2b60	⭠
&#11105;	%2b61	⭡
&#11106;	%2b62	⭢
&#11107;	%2b63	⭣
&#11108;	%2b64	⭤
&#11109;	%2b65	⭥
&#11110;	%2b66	⭦
&#11111;	%2b67	⭧
&#11112;	%2b68	⭨
&#11113;	%2b69	⭩
&#11114;	%2b6a	⭪
&#11115;	%2b6b	⭫
&#11116;	%2b6c	⭬
&#11117;	%2b6d	⭭
&#11118;	%2b6e	⭮
&#11119;	%2b6f	⭯
&#11120;	%2b70	⭰
&#11121;	%2b71	⭱
&#11122;	%2b72	⭲
&#11123;	%2b73	⭳
&#11124;	%2b74	⭴
&#11125;	%2b75	⭵
&#11126;	%2b76	⭶
&#11127;	%2b77	⭷
&#11128;	%2b78	⭸
&#11129;	%2b79	⭹
&#11130;	%2b7a	⭺
&#11131;	%2b7b	⭻
&#11132;	%2b7c	⭼
&#11133;	%2b7d	⭽
&#11134;	%2b7e	⭾
&#11135;	%2b7f	⭿
&#11136;	%2b80	⮀
&#11137;	%2b81	⮁
&#11138;	%2b82	⮂
&#11139;	%2b83	⮃
&#11140;	%2b84	⮄
&#11141;	%2b85	⮅
&#11142;	%2b86	⮆
&#11143;	%2b87	⮇
&#11144;	%2b88	⮈
&#11145;	%2b89	⮉
&#11146;	%2b8a	⮊
&#11147;	%2b8b	⮋
&#11148;	%2b8c	⮌
&#11149;	%2b8d	⮍
&#11150;	%2b8e	⮎
&#11151;	%2b8f	⮏
&#11152;	%2b90	⮐
&#11153;	%2b91	⮑
&#11154;	%2b92	⮒
&#11155;	%2b93	⮓
&#11156;	%2b94	⮔
&#11157;	%2b95	⮕
&#11158;	%2b96	⮖
&#11159;	%2b97	⮗
&#11160;	%2b98	⮘
&#11161;	%2b99	⮙
&#11162;	%2b9a	⮚
&#11163;	%2b9b	⮛
&#11164;	%2b9c	⮜
&#11165;	%2b9d	⮝
&#11166;	%2b9e	⮞
&#11167;	%2b9f	⮟
&#11168;	%2ba0	⮠
&#11169;	%2ba1	⮡
